Оператор: Солодянкин Подчезерцев.
Дата и время: 03.06.2019 13:23:29.
 Амплитуда, В	Частота, Гц	Кнли	peak	RMS
2,116329	110,782777	0,017806	2,096112	1,493919
2,116331	110,780089	0,017706	2,094815	1,500738
2,116586	110,780983	0,017725	2,091895	1,498371
2,116324	110,784142	0,017770	2,098058	1,501008
2,115589	110,783335	0,017731	2,096437	1,497431
2,116457	110,782877	0,017777	2,076650	1,495899
2,116525	110,782302	0,017794	2,100005	1,501362
2,116631	110,780192	0,017743	2,110060	1,491992
2,116387	110,783203	0,017763	2,106168	1,500619
2,116344	110,778854	0,017759	2,109736	1,501248
